0.257116,0.080174,0.375449,0.066451,0.609788,0.074162
0.300105,0.104179,0.379779,0.083025,0.473617,0.072452
0.336548,0.077414,0.431129,0.079827,0.646662,0.083982
0.357554,0.082373,0.391337,0.084365,0.498866,0.069600
0.345714,0.102382,0.401417,0.088432,0.627501,0.074551
0.296852,0.087840,0.489327,0.077219,0.635601,0.075027
0.348587,0.082859,0.413243,0.094951,0.505693,0.080948
0.359780,0.089890,0.395550,0.091167,0.455122,0.077901
0.342986,0.097598,0.461628,0.091664,0.549878,0.086512
0.259407,0.090552,0.359572,0.082639,0.566567,0.079428
0.319685,0.074353,0.447469,0.099358,0.584389,0.088219
0.337318,0.076415,0.402193,0.079460,0.660100,0.089436
0.302738,0.072295,0.368728,0.074027,0.494472,0.064441
0.324025,0.091954,0.429256,0.076078,0.563478,0.078446
0.320744,0.081997,0.504243,0.098069,0.536912,0.085502
0.351188,0.104749,0.446284,0.067407,0.623441,0.082342
0.295044,0.073668,0.452892,0.095812,0.589105,0.069903
0.283570,0.088687,0.352427,0.078441,0.581059,0.061184
0.352847,0.100949,0.363269,0.075433,0.644271,0.066382
0.267950,0.086011,0.514352,0.089261,0.524313,0.084854
0.292525,0.072810,0.380560,0.090150,0.630512,0.079161
0.280753,0.101762,0.438957,0.074193,0.637346,0.064911
0.311365,0.084721,0.497203,0.094530,0.490620,0.081090
0.255309,0.079447,0.511103,0.096876,0.601657,0.060406
0.366017,0.103592,0.489891,0.089645,0.466824,0.062975
0.267691,0.100406,0.478999,0.069955,0.652952,0.088868
0.278110,0.094247,0.358122,0.083909,0.573052,0.081909
0.288445,0.081135,0.443337,0.097950,0.559758,0.073709
0.341638,0.095766,0.502285,0.070237,0.511513,0.087847
0.334739,0.078204,0.482128,0.086797,0.578747,0.070659
0.315126,0.106625,0.387488,0.096062,0.470066,0.067149
0.270580,0.083700,0.524493,0.069318,0.514559,0.080067
0.306360,0.097021,0.389439,0.086636,0.445040,0.086392
0.273845,0.094944,0.416725,0.072668,0.518650,0.061802
0.354703,0.085413,0.373384,0.068534,0.541544,0.087200
0.371654,0.075793,0.433562,0.076177,0.483056,0.063048
0.299052,0.092264,0.525360,0.080592,0.449013,0.084283
0.276850,0.087598,0.459473,0.072027,0.533339,0.067574
0.248543,0.095452,0.473595,0.092142,0.612387,0.063909
0.330472,0.078521,0.468172,0.081158,0.529518,0.067823
0.250568,0.075209,0.424318,0.078011,0.500272,0.061231
0.362937,0.106483,0.456589,0.073021,0.594467,0.071134
0.314719,0.093479,0.520774,0.093690,0.461343,0.068747
0.367494,0.105476,0.422292,0.087891,0.547867,0.071974
0.309557,0.086967,0.405917,0.084852,0.603429,0.083080
0.329118,0.099496,0.482662,0.067868,0.616211,0.072750
0.286526,0.098313,0.469678,0.093257,0.479601,0.076089
0.262872,0.090865,0.495603,0.085984,0.553970,0.076449
0.327280,0.098919,0.508177,0.070917,0.656060,0.065858
0.263443,0.107881,0.408655,0.081636,0.457761,0.077342
